"",""
"Action","Action"
"Add Background","Add Background"
"An error occurred while updating the backgrounds.","An error occurred while updating the backgrounds."
"Are you sure?","Are you sure?"
"Background Additional Style","Background Additional Style"
"Background Attachment","Background Attachment"
"Background Clip","Background Clip"
"Background Color","Background Color"
"Background Name","Background Name"
"Background Origin","Background Origin"
"Background Position","Background Position"
"Background Repeat","Background Repeat"
"Background Size","Background Size"
"Background Target Page","Background Target Page"
"Background Target Type","Background Target Type"
"Background Target","Background Target"
"Background was saved","Background was saved"
"Background was successfully deleted.","Background was successfully deleted."
"Background was successfully saved","Background was successfully saved"
"Background","Background"
"Backgrounds","Backgrounds"
"CSV","CSV"
"Change status","Change status"
"Could not find background to delete.","Could not find background to delete."
"Created at","Created at"
"Delete Background","Delete Background"
"Delete","Delete"
"Disabled","Disabled"
"Edit Background '%s'","Edit Background '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving background","Error saving background"
"Excel","Excel"
"Home","Home"
"Id","Id"
"No","No"
"None","None"
"Please select backgrounds to delete.","Please select backgrounds to delete."
"Please select backgrounds.","Please select backgrounds."
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Background","Save Background"
"Status","Status"
"Store views","Store views"
"The backgrounds has been deleted.","The backgrounds has been deleted."
"There was a problem saving the background.","There was a problem saving the background."
"There was an error deleting background.","There was an error deleting background."
"There was an error deleting backgrounds.","There was an error deleting backgrounds."
"There was an error updating backgrounds.","There was an error updating backgrounds."
"This background no longer exists.","This background no longer exists."
"Total of %d backgrounds were successfully deleted.","Total of %d backgrounds were successfully deleted."
"Total of %d backgrounds were successfully updated.","Total of %d backgrounds were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Unable to find background to save.","Unable to find background to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"